route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,703,False,False,False,False,False,0.5550564163720169,True
10|64,469,False,False,False,False,False,0.364148991327404,True
66|67,544,False,False,False,False,False,0.6622151297470599,True
66|46,500,False,False,False,False,False,0.5074634035364979,True
21|48,798,False,False,False,False,False,0.4140930915495032,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,179,False,False,False,True,False,0.2197477482250359,False
40|42,219,False,False,False,False,False,0.7003370564588659,True
40|10,338,False,False,False,False,False,0.5172705463668275,True
34|112,275,False,False,False,False,False,0.5145572122510669,True
11|10,248,False,False,False,False,False,0.6709359212713133,True
11|3,265,False,False,False,False,False,0.38967128124678113,True
5|41,50,False,False,False,True,False,0.5909328404041155,False
97|95,355,False,False,False,False,False,0.533164068619371,True
119|37,408,False,False,False,False,False,0.5787067132849946,True
119|103,456,False,False,False,False,False,0.4792280131767748,True
22|105,484,False,False,False,False,False,0.39644917973412114,True
22|26,562,False,False,False,False,False,0.5284110785113096,True
22|76,770,False,False,False,False,False,0.6365557553546322,True
16|103,135,False,False,False,False,True,0.48853513284376593,False
16|111,402,False,False,False,False,False,0.5027247180265239,True
96|26,333,False,False,False,False,False,0.3222834820461516,True
96|76,528,False,False,False,False,False,0.5625059260323932,True
58|111,268,False,False,False,False,False,0.5492274904960549,True
31|120,184,False,False,False,False,True,0.31753509213614406,False
31|112,191,False,False,False,False,True,0.43769864017418963,False
117|112,177,False,True,False,False,False,0.46927238320585213,False
117|41,176,False,False,False,False,True,0.4592469468085416,False
34|41,151,False,False,False,False,True,0.5157885731941014,False
34|43,152,False,False,False,False,True,0.5860641827426188,False
5|43,51,False,False,False,True,False,0.6031006315031916,False
5|120,212,False,True,False,False,False,0.8676435589400855,False
73|74,144,False,False,False,False,True,0.6632697459261885,False
73|37,146,False,False,False,False,True,0.6874681961216913,False
15|94,630,False,False,False,False,False,0.4358053839872286,True
15|105,624,False,False,False,False,False,0.5588091933910427,True
15|26,735,False,False,False,False,False,0.6763755850886355,True
