route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,155,True,False,False,True,False,0.6572958004686007,False
10|64,618,False,False,False,False,False,0.5846855341031774,True
66|67,873,False,False,False,False,False,0.25205221258874305,True
66|46,622,False,False,False,False,False,0.22791935002188765,True
21|48,1009,False,False,False,False,False,0.7858037730229819,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,438,False,False,False,False,False,0.6812411420986051,True
40|42,127,False,False,False,False,True,0.31127874252859816,False
40|10,402,False,False,False,False,False,0.3122421226453498,True
34|112,268,False,False,False,False,False,0.7222619514535902,True
11|10,103,False,False,False,False,True,0.16145781931404304,False
11|3,279,False,False,False,False,False,0.4588587265141209,True
5|41,401,False,False,False,False,False,0.7558140567628309,True
97|95,166,False,False,False,True,False,0.23372595907670857,False
119|37,281,False,False,False,True,False,0.19602141819497226,False
119|103,489,False,False,False,False,True,0.26238573597450987,False
22|105,595,False,False,False,False,False,0.9066746707314812,True
22|26,782,False,False,False,False,False,0.8783074537610444,True
22|76,1092,False,False,False,False,False,1.098204092645972,True
16|103,108,False,False,False,True,False,0.13623123019796432,False
16|111,346,False,False,False,True,False,0.17509576136897895,False
96|26,493,False,False,False,False,False,0.7864041264251506,True
96|76,907,False,False,False,False,False,0.9073399457307495,True
58|111,322,False,False,False,False,False,0.1455945347730848,True
31|120,411,False,False,False,False,False,0.848295550815986,True
31|112,307,False,False,False,False,True,1.3328211497539761,False
117|112,542,False,False,False,False,False,0.7495504220367135,True
117|41,294,False,False,False,False,True,1.1953243087593701,False
34|41,206,False,False,False,False,True,0.8776535638555225,False
34|43,413,False,False,False,False,False,1.2677014911379674,True
5|43,360,False,False,False,False,False,1.3355432054902363,True
5|120,243,False,False,False,False,True,0.8940513471577639,False
73|74,134,False,False,False,False,True,0.40546615909832007,False
