route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,243,False,False,False,True,False,0.5160605786270227,0,False
34|41,273,False,False,False,False,True,1.0849965012950173,0,False
40|10,368,False,False,False,False,False,0.21498742244693864,0,True
5|43,380,False,False,False,False,False,0.9267916295546204,0,True
11|10,97,False,False,False,False,True,0.06549587942107372,0,False
73|74,121,False,False,False,False,True,0.4302597968937101,0,False
5|41,50,False,False,False,True,False,0.6708882622587694,0,False
15|94,751,False,False,False,False,False,0.4352470705099619,0,True
119|37,444,False,False,False,False,False,0.19198309111328835,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,243,False,False,False,True,False,0.514029118748841,0,False
34|41,262,False,False,False,False,True,1.0722608789635644,0,False
40|10,369,False,False,False,False,False,0.1638568805349199,0,True
5|43,377,False,False,False,False,False,0.9231376775284419,0,True
11|10,94,False,False,False,False,True,0.05170868246630121,0,False
73|74,118,False,False,False,False,True,0.40409445093439167,0,False
5|41,359,False,False,False,False,False,0.43814919367186445,0,True
15|94,756,False,False,False,False,False,0.4736501315737506,0,True
119|37,381,False,False,False,False,True,0.17617148516981412,0,False
15|26,980,False,False,False,False,False,0.7554860818092408,0,True
22|105,529,False,False,False,False,False,0.5201580648943208,0,True
55|105,955,False,False,False,False,False,0.7826555898331985,0,True
22|76,997,False,False,False,False,False,0.7491052402266759,0,True
58|74,271,False,False,False,True,False,0.20083011548672228,0,False
16|111,280,False,False,False,True,False,0.19056923407249765,0,False
