route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,301,False,False,False,False,False,0.6393952209480677,True
40|42,114,False,False,False,False,True,0.18065898885167478,False
40|10,268,False,False,False,False,False,0.32865875968371777,True
34|112,283,False,False,False,False,False,0.8609208106306703,True
11|10,84,False,False,False,False,True,0.10617500083393332,False
11|3,161,False,False,False,True,False,0.2846437248711585,False
5|41,321,False,False,False,False,False,0.656077244720747,True
97|95,157,False,False,False,True,False,0.2563460624803179,False
119|37,374,False,False,False,False,True,0.18279380081418245,False
119|103,375,False,False,False,False,True,0.29693106735931873,False
22|105,467,False,False,False,False,False,0.9480041882500756,True
22|26,601,False,False,False,False,False,0.8163889562807501,True
22|76,750,False,False,False,False,False,0.8951290634313225,True
16|103,90,False,False,False,True,False,0.12296636276256108,False
16|111,384,False,False,False,False,False,0.19876826919058196,True
96|26,371,False,False,False,False,False,0.578334554419877,True
96|76,570,False,False,False,False,False,0.8803582622194847,True
58|111,311,False,False,False,False,False,0.17692800817203563,True
31|120,200,False,False,False,True,False,0.9287826713206788,False
31|112,460,False,False,False,False,False,1.4092839422078687,True
117|112,298,False,False,False,False,False,1.112750500168087,True
117|41,392,False,False,False,False,False,1.0278608434528196,True
34|41,354,False,False,False,False,False,0.892270392100619,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,274,False,False,False,False,False,0.7656123956695949,True
40|42,107,False,False,False,False,True,0.13764389094722262,False
40|10,316,False,False,False,False,False,0.2079963987533296,True
34|112,296,False,False,False,False,False,0.8423900037490928,True
